01-problem-domain/1.1.1-draft.md	#31–#35 (`kesharwani-2021.md`, `kusuhara-2018.md` [Kusuhara et al. 2018], `gettinger-2025.md`, `morya-2024.md`, `wang-lo-2018.md`). Figures referenced by Resource ID — not embedded.
01-problem-domain/1.1.2-draft.md	#22 (`yesmukhamedov-nan-rk.md`, 🔹SELF), #34 (`morya-2024.md`), #06/#10 (`porwal-2018-idrid-dataset.md`). Figures: none.
01-problem-domain/1.2.1-draft.md	#93 (`shen-2020-cofe-net.md`) — qualitative degradation-model grounding, added in the v6.1.0 corpus expansion (resolves the former Coverage-Matrix GAP). Taxonomy otherwise candidate-original, grounded in OD-1; no measured degradation rate asserted.** Figures: none.
01-problem-domain/1.2.2-draft.md	#78 (`fu-2020-eyeq-riqa.md`), #05 (`rakhlin-2017.md`), #17 (`voets-2019.md`), #15 (`liu-2022.md`), #24 (`yesmukhamedov-scopus-q3.md`, 🔹SELF), and the v6.1.0 additions #94 (`zago-2018-riqa.md`), #116 (`dai-2021-deepdr.md`), #119 (`beede-2020-human-centered-dr.md`). Figures: none.
01-problem-domain/1.2.3-draft.md	#47 (`cuadros-2009-eyepacs.md`, carded in the v6.1.0 expansion); #49/#50/#51 (dataset descriptors — index-level, no card files yet; #51 "TO BE IDENTIFIED"), #74 (`zhou-2022-domain-generalization-survey.md`), #75 (`wang-2018-deep-visual-domain-adaptation-survey.md`). Figures: FIG-1.2.
01-problem-domain/1.3.1-draft.md	#65–#70 (architecture lineage), #01, #04, #05, #09, #12, #15, #16, #18, #37, #38, #41, #42, #43 (DR/medical-imaging application), and the v6.1.0 additions #105 (`simonyan-2015-vgg.md`), #106 (`szegedy-2015-googlenet.md`), #107 (`szegedy-2016-inception-v3.md`), #108 (`liu-2021-swin-transformer.md`), #110 (`litjens-2017-medical-dl-survey.md`), #111 (`quellec-2017-deep-image-mining.md`), #112 (`gargeya-2017-automated-dr.md`), #120 (`burlina-2017-amd-dcnn.md`), #121 (`esteva-2017-skin-cancer.md`), #83 (`zhou-2020-fgadr-benchmark.md`). [#116 Dai/DeepDR and #114 Son are deferred to their external-validation homes in §4.4/§4.5/§4.7.] Figures: FIG-2.2.
01-problem-domain/1.3.2-draft.md	#12 (`gulshan-2016.md`), #02 (`saxena-2020.md`), #09 (`xu-2024-hybrid.md`), #73 (`cheplygina-2018-not-so-supervised-survey.md`), and the v6.1.0 in-domain-SSL corpus — #84 (`zhou-2023-retfound.md`), #85 (`azizi-2021-micle.md`), #86–#91 (SSL method primaries: `chen-2020-simclr.md`, `he-2020-moco.md`, `grill-2020-byol.md`, `caron-2021-dino.md`, `he-2022-mae.md`, `chen-2021-simsiam.md`). Figures: none.
01-problem-domain/1.3.3-draft.md	#57 (`zhou-2016-cam.md`), #46 (Grad-CAM, Selvaraju et al.), #58 (`chattopadhyay-2018-grad-cam-plus-plus.md`), #59 (`tjoa-2020-xai-survey.md`), #60 (`samek-2017-explainable-ai.md`), #61 (`lundberg-2017-shap.md`), #62 (`ribeiro-2016-lime.md`). Figures: none.
01-problem-domain/1.4-draft.md	#12, #77, #11, #44, #45, #03, #07, #02, #14, #39, #43, #22 (🔹SELF), and the v6.1.0 additions #115 (`bellemo-2019-ai-dr-africa.md`), #117 (`defauw-2018-retinal-oct.md`), #118 (`ting-2019-dl-ophthalmology-review.md`). Table: TAB-1.1 (lit-derived, inline).
01-problem-domain/1.5-draft.md	#17 (`voets-2019.md`), #39 (`senapati-2024.md`); objective and hypotheses are governance-anchored (IT-1, CORE_OBJECTIVE, H-1…H-7). Figures: none.
01-problem-domain/1.C-draft.md	none (chapter conclusion — consolidation of §§1.1–1.5; no new source or claim). Figures: none.
02-theoretical-foundations/2.1.1-draft.md	#54 (`pizer-1987-adaptive-histogram-equalization.md`), #95 (`zuiderveld-1994-clahe.md` — canonical CLAHE algorithm, added in the v6.1.0 expansion), #27 (`hayati-2023.md`), #26 (`shaout-han-2025.md`), #30 (`chakka-2023.md`), #23 (`yesmukhamedov-scopus-q2.md`, 🔹SELF). #25 (Wikipedia) is non-citable and is not used. Figures referenced by Resource ID — not embedded.
02-theoretical-foundations/2.1.2-draft.md	#23 (`yesmukhamedov-scopus-q2.md`, 🔹SELF), #24 (`yesmukhamedov-scopus-q3.md`, 🔹SELF — same article as #23), #54 (`pizer-1987-…`), #95 (`zuiderveld-1994-clahe.md` — canonical CLAHE algorithm, added in the v6.1.0 expansion), #27 (`hayati-2023.md`). Equations in Markdown/LaTeX; TAB-2.1 rendered inline.
02-theoretical-foundations/2.1.3-draft.md	#55 (`tomasi-1998-bilateral-filtering.md`), #56 (`buades-2011-non-local-means.md`). Both cited as algorithmic foundations only, not as evidence of DR-classification gains.
02-theoretical-foundations/2.2.1-draft.md	#65 (`krizhevsky-2012-alexnet.md`), #66 (`he-2016-deep-residual-learning.md`), #67 (`huang-2017-densenet.md`), #08 (`wan-2021-ead-net.md`). FIG-2.2 referenced by Resource ID — not embedded.
